playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct,PlayerName
hernafe02,2012,1,SEA,AL,13,9,33,33,5,5,0,696.0,209,79,14,56,223,0.241,3.06,0.0,13.0,12.0,2,939.0,0.0,84,2.0,2.0,,232.0,1.14,8.65,2.17,0.54,23.75,Felix Hernandez
hochelu01,2012,1,KCA,AL,8,16,32,32,2,1,0,556.0,202,118,27,61,144,0.281,5.73,3.0,8.0,13.0,0,800.0,0.0,127,4.0,3.0,,185.33,1.42,6.99,2.96,1.31,18.0,Luke Hochevar
hollade01,2012,1,TEX,AL,12,7,29,27,0,0,0,526.0,162,91,32,52,145,0.243,4.67,0.0,1.0,3.0,0,730.0,1.0,100,5.0,4.0,,175.33,1.22,7.44,2.67,1.64,19.86,Derek Holland
hudsoti01,2012,1,ATL,NL,16,7,28,28,1,1,0,537.0,168,72,12,48,102,0.248,3.62,2.0,3.0,9.0,0,749.0,0.0,77,10.0,4.0,,179.0,1.21,5.13,2.41,0.6,13.62,Tim Hudson
hugheph01,2012,1,NYA,AL,16,13,32,32,1,0,0,574.0,196,89,35,46,165,0.259,4.19,0.0,3.0,6.0,0,815.0,0.0,101,1.0,4.0,,191.33,1.26,7.76,2.16,1.65,20.25,Phil Hughes
humbeph01,2012,1,CHA,AL,5,5,26,16,1,1,0,306.0,113,73,23,44,85,0.276,6.44,1.0,9.0,4.0,0,462.0,6.0,74,1.0,4.0,,102.0,1.54,7.5,3.88,2.03,18.4,Philip Humber
hunteto02,2012,1,BAL,AL,7,8,33,20,0,0,0,401.0,161,81,32,27,77,0.302,5.45,2.0,0.0,4.0,1,573.0,5.0,85,3.0,6.0,,133.67,1.41,5.18,1.82,2.15,13.44,Tommy Hunter
iwakuhi01,2012,1,SEA,AL,9,5,30,16,0,0,2,376.0,117,44,17,43,101,0.248,3.16,3.0,5.0,3.0,0,519.0,6.0,49,1.0,1.0,,125.33,1.28,7.25,3.09,1.22,19.46,Hisashi Iwakuma
jacksed01,2012,1,WAS,NL,10,11,31,31,1,0,0,569.0,173,85,23,58,168,0.243,4.03,5.0,3.0,2.0,0,790.0,0.0,90,9.0,8.0,,189.67,1.22,7.97,2.75,1.09,21.27,Edwin Jackson
jimenub01,2012,1,CLE,AL,9,17,31,31,0,0,0,530.0,190,106,25,95,143,0.273,5.4,3.0,16.0,8.0,1,805.0,0.0,116,2.0,3.0,,176.67,1.61,7.28,4.84,1.27,17.76,Ubaldo Jimenez
johnsjo09,2012,1,MIA,NL,8,14,31,31,0,0,0,574.0,180,81,14,65,165,0.252,3.81,7.0,5.0,4.0,0,798.0,0.0,84,8.0,8.0,,191.33,1.28,7.76,3.06,0.66,20.68,Josh Johnson
kellyjo05,2012,1,SLN,NL,5,7,24,16,0,0,0,321.0,112,42,10,36,75,0.271,3.53,2.0,4.0,3.0,0,457.0,4.0,50,4.0,1.0,,107.0,1.38,6.31,3.03,0.84,16.41,Joe Kelly
kendrky01,2012,1,PHI,NL,11,12,37,25,1,1,0,478.0,154,69,20,49,116,0.254,3.9,4.0,1.0,7.0,0,674.0,2.0,76,8.0,4.0,,159.33,1.27,6.55,2.77,1.13,17.21,Kyle Kendrick
kenneia01,2012,1,ARI,NL,15,12,33,33,1,0,0,625.0,216,93,28,55,187,0.266,4.02,4.0,5.0,14.0,4,899.0,0.0,101,13.0,5.0,,208.33,1.3,8.08,2.38,1.21,20.8,Ian Kennedy
kershcl01,2012,1,LAN,NL,14,9,33,33,2,2,0,683.0,170,64,16,63,229,0.21,2.53,5.0,6.0,5.0,2,901.0,0.0,70,18.0,4.0,,227.67,1.02,9.05,2.49,0.63,25.42,Clayton Kershaw
kurodhi01,2012,1,NYA,AL,16,11,33,33,3,2,0,659.0,205,81,25,51,167,0.249,3.32,2.0,13.0,8.0,0,891.0,0.0,86,7.0,3.0,,219.67,1.17,6.84,2.09,1.02,18.74,Hiroki Kuroda
laffeaa01,2012,1,TOR,AL,4,6,22,16,0,0,0,302.0,100,51,17,37,48,0.26,4.56,1.0,2.0,5.0,0,429.0,1.0,56,2.0,0.0,,100.67,1.36,4.29,3.31,1.52,11.19,Aaron Laffey
latosma01,2012,1,CIN,NL,14,4,33,33,2,0,0,628.0,179,81,25,64,185,0.23,3.48,9.0,3.0,4.0,1,858.0,0.0,87,9.0,3.0,,209.33,1.16,7.95,2.75,1.07,21.56,Mat Latos
leakemi01,2012,1,CIN,NL,8,9,30,30,2,0,0,537.0,201,91,26,41,116,0.287,4.58,3.0,3.0,3.0,0,757.0,0.0,97,6.0,7.0,,179.0,1.35,5.83,2.06,1.31,15.32,Mike Leake
leecl02,2012,1,PHI,NL,6,9,30,30,0,0,0,633.0,207,74,26,28,207,0.255,3.16,0.0,4.0,0.0,0,847.0,0.0,79,3.0,4.0,,211.0,1.11,8.83,1.19,1.11,24.44,Cliff Lee
