playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct
cordefr01,2012,1,TOR,AL,3,5,41,0,0,0,2,103.0,48,22,7,14,26,0.34,5.77,3.0,4.0,1.0,0,160.0,17.0,24,4.0,0.0,,34.33,1.81,6.82,3.67,1.84,16.25
corpama01,2012,1,CHN,NL,0,2,48,0,0,0,0,140.0,50,26,7,16,28,0.273,5.01,3.0,1.0,5.0,0,205.0,11.0,27,1.0,0.0,,46.67,1.41,5.4,3.09,1.35,13.66
correke01,2012,1,PIT,NL,12,11,32,28,0,0,0,513.0,176,80,20,46,89,0.267,4.21,2.0,2.0,3.0,0,728.0,0.0,89,14.0,7.0,,171.0,1.3,4.68,2.42,1.05,12.23
crainje01,2012,1,CHA,AL,2,3,51,0,0,0,0,144.0,29,13,5,23,60,0.171,2.44,1.0,4.0,1.0,0,194.0,6.0,14,0.0,0.0,,48.0,1.08,11.25,4.31,0.94,30.93
crowaa01,2012,1,KCA,AL,3,1,73,0,0,0,2,194.0,54,25,4,22,65,0.231,3.48,2.0,4.0,1.0,0,260.0,20.0,27,1.0,2.0,,64.67,1.18,9.05,3.06,0.56,25.0
cruzju02,2012,1,PIT,NL,1,1,43,0,0,0,3,107.0,39,11,3,19,33,0.289,2.78,0.0,1.0,3.0,0,162.0,11.0,12,2.0,3.0,,35.67,1.63,8.33,4.79,0.76,20.37
cruzrh01,2012,1,HOU,NL,1,1,52,0,0,0,0,165.0,65,37,8,29,46,0.297,6.05,0.0,3.0,2.0,0,253.0,26.0,38,1.0,2.0,,55.0,1.71,7.53,4.75,1.31,18.18
cuetojo01,2012,1,CIN,NL,19,9,33,33,2,0,0,651.0,205,67,15,49,170,0.252,2.78,5.0,1.0,12.0,3,888.0,0.0,73,6.0,6.0,,217.0,1.17,7.05,2.03,0.62,19.14
danksjo01,2012,1,CHA,AL,3,4,9,9,0,0,0,161.0,57,34,7,23,30,0.273,5.7,0.0,5.0,1.0,0,238.0,0.0,35,3.0,2.0,,53.67,1.49,5.03,3.86,1.17,12.61
darviyu01,2012,1,TEX,AL,16,9,29,29,0,0,0,574.0,156,83,14,89,221,0.22,3.9,1.0,8.0,10.0,0,816.0,0.0,89,2.0,7.0,,191.33,1.28,10.4,4.19,0.66,27.08
daviswa01,2012,1,TBA,AL,3,0,54,0,0,0,0,211.0,48,19,5,29,87,0.189,2.43,2.0,2.0,0.0,0,284.0,15.0,20,0.0,1.0,,70.33,1.09,11.13,3.71,0.64,30.63
dedunsa01,2012,1,MIN,AL,6,5,15,15,0,0,0,237.0,69,39,10,53,57,0.241,4.44,0.0,5.0,5.0,0,347.0,0.0,40,1.0,2.0,,79.0,1.54,6.49,6.04,1.14,16.43
delabst01,2012,1,SEA,AL,2,1,34,0,0,0,0,110.0,23,17,9,11,46,0.177,4.17,1.0,3.0,5.0,0,148.0,11.0,17,2.0,0.0,,36.67,0.93,11.29,2.7,2.21,31.08
delgara01,2012,1,ATL,NL,4,9,18,17,0,0,0,278.0,89,45,8,42,76,0.256,4.37,4.0,5.0,4.0,1,401.0,0.0,48,5.0,3.0,,92.67,1.41,7.38,4.08,0.78,18.95
dempsry01,2012,1,CHN,NL,5,5,16,16,0,0,0,312.0,81,26,9,27,83,0.21,2.25,0.0,0.0,1.0,1,417.0,0.0,28,2.0,1.0,,104.0,1.04,7.18,2.34,0.78,19.9
dempsry01,2012,2,TEX,AL,7,3,12,12,0,0,0,207.0,74,39,10,25,70,0.276,5.09,0.0,2.0,1.0,0,300.0,0.0,43,3.0,3.0,,69.0,1.43,9.13,3.26,1.3,23.33
detwiro01,2012,1,WAS,NL,10,8,33,27,0,0,0,493.0,149,62,15,52,105,0.241,3.4,0.0,4.0,5.0,1,686.0,1.0,75,8.0,3.0,,164.33,1.22,5.75,2.85,0.82,15.31
devrico01,2012,1,MIN,AL,5,5,17,16,0,0,0,263.0,88,40,16,18,58,0.252,4.11,0.0,1.0,4.0,0,375.0,1.0,48,4.0,0.0,,87.67,1.21,5.95,1.85,1.64,15.47
diamosc01,2012,1,MIN,AL,12,9,27,27,1,1,0,519.0,184,68,17,31,90,0.274,3.54,2.0,10.0,4.0,0,714.0,0.0,76,3.0,5.0,,173.0,1.24,4.68,1.61,0.88,12.61
dickera01,2012,1,NYN,NL,20,6,34,33,5,3,0,701.0,192,71,24,54,230,0.226,2.73,2.0,4.0,9.0,1,927.0,1.0,78,9.0,7.0,,233.67,1.05,8.86,2.08,0.92,24.81
